Symbol,Name,GP/A,GM,ROE,P/B,NM,MF,Qual,fPEG,gPEG,Grw%,Src,Zone,D.GP,D.PB,NMR,AG,6M,12M
MSTR,Strategy Inc,0.5%,68.7%,-11.1%,0.98,2.4,2.4,—,0.06,N/A,36%,GE-1Y,🟢GÜNSTIG,1,10,11,+139%,-57.6%,-41.8%
MU,"Micron Technology, Inc.",18.0%,39.8%,22.6%,7.84,3.5,3.9,★★,0.15,N/A,60%,GE-2Y,🟢GÜNSTIG,3,6,9,+19%,+202.9%,+371.4%
CHTR,"Charter Communications, Inc.",20.1%,56.5%,28.7%,1.73,3.2,3.5,★★,0.29,N/A,16%,GE-2Y,🟢GÜNSTIG,3,10,13,+3%,-16.6%,-41.2%
AMD,"Advanced Micro Devices, Inc.",22.3%,49.5%,7.1%,5.29,3.9,3.7,★★,0.31,1.61,60%,GE-2Y,🟢GÜNSTIG,4,7,11,+11%,+31.3%,+111.7%
AVGO,Broadcom Inc.,25.3%,67.8%,33.4%,5.80,3.9,4.3,★★,0.33,2.56,60%,GE-2Y,🟢GÜNSTIG,4,7,11,+3%,+2.4%,+88.0%
WDC,Western Digital Corporation,26.4%,38.8%,41.1%,13.08,3.5,4.1,★★,0.34,4.05,60%,GE-2Y,🟢GÜNSTIG,4,4,8,-42%,+189.7%,+577.5%
NVDA,NVIDIA Corporation,74.2%,71.1%,101.5%,28.54,4.0,4.4,★★,0.34,0.19,50%,GE-2Y,🟢GÜNSTIG,10,2,12,+85%,+8.2%,+72.7%
STX,Seagate Technology Holdings PLC,39.9%,35.2%,N/A,185.75,3.0,2.9,★,0.35,N/A,56%,GE-2Y,🟢GÜNSTIG,7,1,8,+4%,+105.2%,+361.1%
ALNY,"Alnylam Pharmaceuticals, Inc.",61.1%,81.6%,73.3%,54.12,3.0,3.0,★,0.37,N/A,60%,GE-2Y,🟢GÜNSTIG,10,1,11,+17%,-33.1%,+38.4%
MRVL,"Marvell Technology, Inc.",11.8%,41.3%,19.3%,5.54,3.2,3.5,★★,0.45,N/A,38%,GE-2Y,🟢GÜNSTIG,2,7,9,-5%,+40.2%,+42.9%
TTWO,"Take-Two Interactive Software, ",33.4%,54.4%,-86.2%,11.17,3.1,3.0,★,0.46,N/A,59%,GE-2Y,🟢GÜNSTIG,6,4,10,-25%,-14.9%,+4.5%
FANG,"Diamondback Energy, Inc.",7.3%,35.0%,3.7%,1.37,3.1,3.0,★,0.56,N/A,25%,GE-1Y,🟢GÜNSTIG,1,10,11,+6%,+32.5%,+30.3%
MELI,"MercadoLibre, Inc.",30.1%,44.5%,36.0%,13.25,2.9,3.6,★★,0.56,0.74,40%,GE-2Y,🟢GÜNSTIG,5,3,8,+69%,-25.7%,-9.3%
MCHP,Microchip Technology Incorporat,16.1%,56.1%,-1.1%,5.44,3.2,3.1,★,0.59,N/A,42%,GE-2Y,🟢GÜNSTIG,2,7,9,-3%,+3.4%,+27.2%
CSGP,"CoStar Group, Inc.",24.3%,78.9%,0.1%,2.32,3.2,2.9,★,0.61,N/A,43%,GE-2Y,🟢GÜNSTIG,4,9,13,+14%,-47.6%,-42.2%
APP,Applovin Corporation,66.3%,87.9%,212.9%,75.42,3.0,2.9,★,0.62,N/A,38%,GE-2Y,🟢GÜNSTIG,10,1,11,+24%,-14.7%,+99.9%
TEAM,Atlassian Corporation,71.5%,82.8%,-13.5%,13.10,3.3,3.0,★,0.64,N/A,22%,GE-2Y,🟢GÜNSTIG,10,3,13,+16%,-57.0%,-63.6%
NXPI,NXP Semiconductors N.V.,25.3%,54.7%,20.7%,5.14,2.9,3.3,★,0.64,N/A,19%,GE-2Y,🟢GÜNSTIG,4,8,12,+9%,-7.8%,-0.3%
WDAY,"Workday, Inc.",35.5%,75.5%,8.2%,4.70,3.6,3.4,★★,0.70,0.34,16%,GE-2Y,🟢GÜNSTIG,6,8,14,+9%,-38.6%,-41.7%
BKNG,Booking Holdings Inc. Common St,N/A,N/A,N/A,N/A,0.0,2.3,—,0.82,1.27,17%,GE-2Y,🟢GÜNSTIG,—,—,—,+6%,-20.8%,-0.6%
ADBE,Adobe Inc.,71.9%,89.3%,55.4%,9.74,3.6,4.0,★★,0.84,1.14,12%,GE-2Y,🟢GÜNSTIG,10,5,15,-2%,-22.5%,-37.0%
ADI,"Analog Devices, Inc.",14.1%,61.5%,7.9%,4.62,3.8,3.6,★★,0.86,N/A,29%,GE-2Y,🟢GÜNSTIG,2,8,10,-0%,+29.8%,+50.2%
INTC,Intel Corporation,8.7%,34.8%,0.0%,2.06,3.4,3.2,★,0.89,N/A,54%,GE-2Y,🟢GÜNSTIG,1,9,10,+8%,+92.5%,+136.1%
CMCSA,Comcast Corporation,32.6%,71.7%,21.4%,1.15,3.6,3.8,★★,0.94,0.10,8%,GE-1Y,🟢GÜNSTIG,6,10,16,+2%,+0.4%,-4.7%
DASH,"DoorDash, Inc.",35.5%,50.9%,10.4%,7.38,3.2,3.4,★,0.99,N/A,23%,GE-2Y,🟢GÜNSTIG,7,6,13,+53%,-33.5%,-4.1%
TMUS,"T-Mobile US, Inc.",25.3%,62.9%,18.2%,4.09,3.2,3.1,★,1.05,0.36,15%,GE-2Y,🟡FAIR,4,8,12,+5%,-9.1%,-16.7%
KDP,Keurig Dr Pepper Inc.,16.2%,54.2%,8.4%,1.50,2.8,2.7,★,1.06,1.40,11%,GE-2Y,🟡FAIR,2,10,12,+4%,+4.0%,-10.6%
LRCX,Lam Research Corporation,42.1%,48.7%,65.6%,26.82,4.0,4.2,★★,1.08,8.61,29%,GE-2Y,🟡FAIR,8,2,10,+14%,+107.0%,+196.7%
NFLX,"Netflix, Inc.",39.4%,48.5%,42.8%,15.36,3.4,3.8,★★,1.09,1.10,23%,GE-2Y,🟡FAIR,7,3,10,+4%,-23.3%,+11.8%
PCAR,PACCAR Inc.,10.7%,16.7%,12.9%,3.27,3.3,3.3,★,1.10,N/A,16%,GE-2Y,🟡FAIR,1,8,9,+2%,+25.1%,+11.1%
ADSK,"Autodesk, Inc.",52.6%,91.0%,39.7%,17.78,3.5,3.9,★★,1.12,4.45,16%,GE-2Y,🟡FAIR,9,2,11,+15%,-21.5%,+2.8%
ABNB,"Airbnb, Inc.",45.7%,83.0%,30.2%,9.78,3.9,4.0,★★,1.14,3.35,20%,GE-2Y,🟡FAIR,8,5,13,+6%,+7.6%,+0.8%
CEG,Constellation Energy Corporatio,8.2%,18.4%,16.4%,6.87,3.0,3.2,★,1.16,N/A,20%,GE-2Y,🟡FAIR,1,6,7,+8%,+6.3%,+58.6%
DXCM,"DexCom, Inc.",44.2%,60.1%,34.5%,9.51,3.6,3.9,★★,1.16,0.93,20%,GE-2Y,🟡FAIR,8,5,13,-2%,-13.5%,-4.1%
INTU,Intuit Inc.,40.5%,79.6%,23.5%,6.62,3.6,3.6,★★,1.19,1.27,15%,GE-2Y,🟡FAIR,8,7,15,+15%,-32.0%,-21.1%
AMAT,"Applied Materials, Inc.",38.0%,48.7%,38.9%,12.83,3.9,4.2,★★,1.19,15.24,21%,GE-2Y,🟡FAIR,7,4,11,+5%,+115.3%,+136.1%
MSFT,Microsoft Corporation,31.3%,68.8%,34.4%,7.70,3.5,3.8,★★,1.23,2.14,18%,GE-2Y,🟡FAIR,5,6,11,+21%,-18.4%,+7.4%
CTSH,Cognizant Technology Solutions ,34.4%,33.7%,15.2%,2.01,3.6,3.4,★★,1.30,N/A,8%,GE-2Y,🟡FAIR,6,10,16,+4%,-10.3%,-23.8%
GEHC,GE HealthCare Technologies Inc.,22.3%,40.0%,22.4%,3.22,3.2,3.4,★,1.30,5.67,10%,GE-2Y,🟡FAIR,4,8,12,+12%,-6.8%,-14.0%
TXN,Texas Instruments Incorporated,29.2%,57.0%,30.1%,11.07,2.8,3.4,★,1.32,N/A,19%,GE-2Y,🟡FAIR,5,4,9,-3%,+8.3%,+9.1%
